state_abbr,state,date,state_income,state_real_income,state_unemployment_rate,state_median_age_female,state_median_age_male,state_median_age_total,state_population_female,state_population_male,state_population_total,state_percent_male,state_housing_units,state_land_area_sqmi,state_homicides_per_100k,state_homicides_per_100k_5_year_avg,state_homicides_per_100k_1999_2020_avg,state_housing_rate,state_pop_density,state_pop_change,state_income_change,state_real_income_change
AL,Alabama,1969-07-01,2831.0,19545.0,,,,,,,,,,50645.33,,,9.8,,,,8.83,4.16
AL,Alabama,1970-07-01,3081.0,20359.0,,,,,,,,,,50645.33,,,9.8,,,,8.57,5.19
AL,Alabama,1971-07-01,3345.0,21415.0,,,,,,,,,,50645.33,,,9.8,,,,9.78,7.23
AL,Alabama,1972-07-01,3672.0,22963.0,,,,,,,,,,50645.33,,,9.8,,,,11.33,5.96
AL,Alabama,1973-07-01,4088.0,24331.0,,,,,,,,,,50645.33,,,9.8,,,,9.52,-0.13
AL,Alabama,1974-07-01,4477.0,24300.0,,,,,,,,,,50645.33,,,9.8,,,,9.85,1.55
AL,Alabama,1975-07-01,4918.0,24676.0,,,,,,,,,,50645.33,,,9.8,,,,10.57,5.42
AL,Alabama,1976-07-01,5438.0,26014.0,6.7,,,,,,,,,50645.33,,,9.8,,,,8.86,2.93
AL,Alabama,1977-07-01,5920.0,26777.0,7.1,,,,,,,,,50645.33,,,9.8,,,,11.64,2.01
AL,Alabama,1978-07-01,6609.0,27316.0,6.4,,,,,,,,,50645.33,,,9.8,,,,10.08,0.54
AL,Alabama,1979-07-01,7275.0,27464.0,7.2,,,,,,,,,50645.33,,,9.8,,,,9.4,-1.61
AL,Alabama,1980-07-01,7959.0,27021.0,8.8,,,,,,,,,50645.33,,,9.8,,,,10.48,0.95
AL,Alabama,1981-07-01,8793.0,27277.0,10.7,,,,,,,,,50645.33,,,9.8,,,,5.41,-0.59
AL,Alabama,1982-07-01,9269.0,27116.0,14.0,,,,,,,,,50645.33,,,9.8,,,,6.89,2.52
AL,Alabama,1983-07-01,9908.0,27798.0,13.8,,,,,,,,,50645.33,,,9.8,,,,9.41,5.04
AL,Alabama,1984-07-01,10840.0,29198.0,11.3,,,,,,,,,50645.33,,,9.8,,,,7.02,3.53
AL,Alabama,1985-07-01,11601.0,30228.0,9.6,,,,,,,,,50645.33,,,9.8,,,,5.34,3.59
AL,Alabama,1986-07-01,12220.0,31312.0,9.6,,,,,,,,,50645.33,,,9.8,,,,4.99,1.56
AL,Alabama,1987-07-01,12830.0,31799.0,8.2,,,,,,,,,50645.33,,,9.8,,,,7.56,3.75
AL,Alabama,1988-07-01,13800.0,32990.0,7.3,,,,,,,,,50645.33,,,9.8,,,,8.51,4.02
AL,Alabama,1989-07-01,14975.0,34316.0,7.0,,,,,,,,,50645.33,,,9.8,,,,5.91,0.93
AL,Alabama,1990-07-01,15860.0,34634.0,6.8,,,,,,,,,50645.33,,,9.8,,,,4.57,0.89
AL,Alabama,1991-07-01,16585.0,34943.0,7.3,,,,,,,,,50645.33,,,9.8,,,,5.96,3.39
AL,Alabama,1992-07-01,17574.0,36128.0,7.5,,,,,,,,,50645.33,,,9.8,,,,3.08,0.55
AL,Alabama,1993-07-01,18116.0,36325.0,7.2,,,,,,,,,50645.33,,,9.8,,,,4.68,2.53
AL,Alabama,1994-07-01,18963.0,37244.0,6.2,,,,,,,,,50645.33,,,9.8,,,,4.8,2.34
AL,Alabama,1995-07-01,19874.0,38114.0,5.9,,,,,,,,,50645.33,,,9.8,,,,3.65,0.96
AL,Alabama,1996-07-01,20599.0,38478.0,5.2,,,,,,,,,50645.33,,,9.8,,,,4.31,2.1
AL,Alabama,1997-07-01,21487.0,39287.0,4.9,,,,,,,,,50645.33,,,9.8,,,,5.42,4.01
AL,Alabama,1998-07-01,22651.0,40861.0,4.5,,,,,,,,,50645.33,,,9.8,,,,2.85,0.74
AL,Alabama,1999-07-01,23296.0,41164.0,4.7,,,,,,,,,50645.33,9.9,,9.8,,,,4.13,0.71
