date,US_income,US_real_income,US_unemployment_rate,US_median_age_female,US_median_age_male,US_median_age_total,US_population_female,US_population_male,US_population_total,US_percent_male,US_housing_units,US_land_area_sqmi,US_land_area_without_AK_sqmi,US_homicides_per_100k,US_unreliable_homicides_per_100k,US_homicides_per_100k_5_year_avg,US_unreliable_homicides_per_100k_5_year_avg,US_housing_rate,US_pop_density,US_pop_change,US_income_change,US_real_income_change
1947-07-01,,,3.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1948-07-01,,,3.8,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1949-07-01,,,5.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1950-07-01,,,5.3,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1951-07-01,,,3.3,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1952-07-01,,,3.0,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1953-07-01,,,2.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1954-07-01,,,5.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1955-07-01,,,4.4,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1956-07-01,,,4.1,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1957-07-01,,,4.3,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1958-07-01,,,6.8,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1959-07-01,,,5.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1960-07-01,,,5.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1961-07-01,,,6.7,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1962-07-01,,,5.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1963-07-01,,,5.7,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1964-07-01,,,5.2,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1965-07-01,,,4.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1966-07-01,,,3.8,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1967-07-01,,,3.8,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1968-07-01,,,3.6,,,,,,,,,3531905.43,2961264.48,,,,,,,,,
1969-07-01,3931.0,27140.0,3.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,6.79,2.21
1970-07-01,4198.0,27740.0,4.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,6.5,3.19
1971-07-01,4471.0,28624.0,5.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,8.63,6.11
1972-07-01,4857.0,30374.0,5.6,,,,,,,,,3531905.43,2961264.48,,,,,,,,10.42,5.09
1973-07-01,5363.0,31919.0,4.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,8.82,-0.76
1974-07-01,5836.0,31676.0,5.6,,,,,,,,,3531905.43,2961264.48,,,,,,,,8.36,0.17
1975-07-01,6324.0,31730.0,8.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,8.71,3.65
1976-07-01,6875.0,32889.0,7.7,,,,,,,,,3531905.43,2961264.48,,,,,,,,9.32,3.36
1977-07-01,7516.0,33995.0,7.1,,,,,,,,,3531905.43,2961264.48,,,,,,,,11.18,1.59
1978-07-01,8356.0,34537.0,6.1,,,,,,,,,3531905.43,2961264.48,,,,,,,,10.48,0.91
1979-07-01,9232.0,34852.0,5.8,,,,,,,,,3531905.43,2961264.48,,,,,,,,10.31,-0.8
1980-07-01,10184.0,34574.0,7.1,,,,,,,,,3531905.43,2961264.48,,,,,,,,10.87,1.31
1981-07-01,11291.0,35026.0,7.6,,,,,,,,,3531905.43,2961264.48,,,,,,,,6.19,0.14
1982-07-01,11990.0,35076.0,9.7,,,,,,,,,3531905.43,2961264.48,,,,,,,,5.93,1.59
1983-07-01,12701.0,35634.0,9.6,,,,,,,,,3531905.43,2961264.48,,,,,,,,9.35,4.98
1984-07-01,13889.0,37410.0,7.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,6.17,2.71
1985-07-01,14746.0,38423.0,7.2,,,,,,,,,3531905.43,2961264.48,,,,,,,,4.99,3.25
1986-07-01,15482.0,39670.0,7.0,,,,,,,,,3531905.43,2961264.48,,,,,,,,4.82,1.39
1987-07-01,16228.0,40220.0,6.2,,,,,,,,,3531905.43,2961264.48,,,,,,,,7.48,3.67
1988-07-01,17442.0,41697.0,5.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,6.97,2.54
1989-07-01,18658.0,42756.0,5.3,,,,,,,,,3531905.43,2961264.48,,,,,,,,5.15,0.2
1990-07-01,19619.0,42842.0,5.6,,,,,,,,,3531905.43,2961264.48,,,,,,,,2.2,-1.4
1991-07-01,20050.0,42244.0,6.8,,,,,,,,,3531905.43,2961264.48,,,,,,,,5.12,2.57
1992-07-01,21077.0,43329.0,7.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,3.02,0.48
1993-07-01,21713.0,43537.0,6.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,3.86,1.74
1994-07-01,22552.0,44293.0,6.1,,,,,,,,,3531905.43,2961264.48,,,,,,,,4.55,2.08
1995-07-01,23577.0,45215.0,5.6,,,,,,,,,3531905.43,2961264.48,,,,,,,,4.87,2.15
1996-07-01,24725.0,46185.0,5.4,,,,,,,,,3531905.43,2961264.48,,,,,,,,4.85,2.63
1997-07-01,25925.0,47401.0,4.9,,,,,,,,,3531905.43,2961264.48,,,,,,,,6.05,4.63
1998-07-01,27493.0,49595.0,4.5,,,,,,,,,3531905.43,2961264.48,,,,,,,,4.0,1.87
1999-07-01,28592.0,50522.0,4.2,,,,,,,,,3531905.43,2961264.48,6.1,3.8,,,,,,6.85,3.34
2000-07-01,30551.0,52209.0,4.0,36.6,34.1,35.4,143719004.0,138443407.0,282162411.0,0.4906514886562973,116334360.0,3531905.43,2961264.48,6.0,3.7,,,2.43,79.89,0.99,3.26,0.4
2001-07-01,31548.0,52418.0,4.7,36.8,34.2,35.6,145077463.0,139891492.0,284968955.0,0.4909008140904331,118073715.0,3531905.43,2961264.48,7.1,3.9,6.3,3.2,2.41,80.68,0.93,0.8,-0.77
2002-07-01,31801.0,52017.0,5.8,37.0,34.4,35.8,146394634.0,141230559.0,287625193.0,0.4910229091093561,119762541.0,3531905.43,2961264.48,6.1,3.7,6.2,3.1,2.4,81.44,0.86,2.7,0.42
